text,corrected
This is how I think life would be in the next 50 years.,This is how I think life will be in the next 50 years.
Using public transport reduce the pollution.,Using public transport reduces  pollution.
It is the most European city of Spain.,It is the most European city in Spain.
"D.	Perhaps, bilingual school creation  might be a good idea of Colombian education improvement, but it will be appropriate to  be aware that Colombia actually has public schools with a basic education where English is considered as another academic subject, in contrast with the private ones.","D.	Perhaps  bilingual school creation  might be a good idea for Colombian education improvement, but it would be appropriate to  be aware that Colombia actually has public schools with a basic education where English is considered as another academic subject, in contrast with the private ones.   "
"Then, the public transport is needed to avoid more problems in the atmosphere and save the planet.","So,   public transport is needed to avoid more problems in the atmosphere and save the planet."
"

","

"
I´ve got a cousin who works as an English teacher and she has an academy right next to the city council.,I´ve got a cousin who works as an English teacher and she has an academy right next to the city hall.
"I believe that saying that there is no future for public transport given that travelling by car is so much more convenient, is premature.","I believe that saying that there is no future for public transport given that travelling by car is so much more convenient, is premature."
"Anyway, he built a skyscraper, which is called 21.

","Anyway, he built a skyscraper, which is called 21.

"
"There are four floors, each of which contains different departments of the anchor stores, and a number of small shops which sell a variety of products.","There are four floors, each of which contains different departments of the anchor stores, and a number of small shops which sell a variety of products."
But his mother refused her apology and ordered him to close the door.,But his mother refused her apology and ordered him to close the door.
"In sum, museums are attractive places for tourist to discover about the city they visited.","In sum, museums are attractive places for tourists to find out about the city they are visiting."
«I’m 22 years old and my name is Daniel.,«I’m 22 years old and my name is Daniel.
"There are scientific evidences, that calamities like Katrina, Hud-Hud can be linked to global warming.
","There is scientific evidence  that disasters like Katrina and  Hud-Hud can be linked to global warming.
"
"For that reason, fomenting the use of public transport has been the main concern of most of modern governments.","For that reason, encouraging the use of public transport has been the main concern of most  modern governments."
"If you're looking for top quality products, we would recommend going to the Westfield shopping centre.","If you're looking for top quality products, we would recommend going to the Westfield shopping centre."
"Lastly, we can use less resources by using public transport.
","Lastly, we can use less resources by using public transport.
"
"Unfortunately, we realize at home, that our wallet is empty.","Unfortunately, we realize at home, that our wallet is empty."
"Find a job in Italy isn't as easy as you think, because the 
economic system is in crisis, so it's hard just for Italian, thinking for 
foreign people.","

"
"Perfect product, good manager, and great marketing are the three key elements to success in business.
","Perfect product, good manager, and great marketing are the three key elements to success in business.
"
"In addition, spending too much time in activities like watching TV, surfing the Internet or playing video games prevent them from doing sports.  ","In addition, spending too much time on activities like watching TV, surfing the Internet or playing video games prevent them from doing sports.  "
"In terms of my suitability for reception and administrative roles, I am organized, amiable and helpful.","In terms of my suitability for reception and administrative roles, I am organized, amiable and helpful."
"There's no special advice to give to somebody who wants to start this activity: if you aim doing something  good for your health and for your mind, just wear comfortable clothes, put your pair of trainers on, choose the most inspiring place and just go and enjoy any minute of it.","There's no special advice to give to somebody who wants to start this activity: if you aim to do something  good for your health and for your mind, just wear comfortable clothes, put a pair of trainers on, choose the most inspiring place and just go and enjoy every minute of it."
In my opinion using the nuclear power is important with the great development in the humans life.the countries have to establish this energy and other sources to secure the power for people.         ,Countries have to establish this energy and other sources to secure  power for people.         
I am the eldest of my family so I had to take care of my sisters and cousins.,"I am the eldest in my family, so I had to take care of my sisters and cousins."
"In conclusion travelling by car is far better than using public transport
","In conclusion, travelling by car is far better than using public transport.
"
She was killed by his coldness.,She was killed by his coldness.
"I can also do different activities with kids for example: singing, running around the garden, planting trees, drawing, playing instruments,etc.

","I can also do different activities with kids, for example, singing, running around the garden, planting trees, drawing, playing instruments, etc.

"
I agree with statement that Mark Twain is the greastest American writer.,I agree with the statement that Mark Twain is the greatest American writer.
"I met those boys next Friday and they told me that I had to pass the test initiation.


","I met those boys the next Friday and they told me that I had to pass the initiation test.


"
After my studies I did a master in cultural sciences at the University of Maastricht.,"After my studies, I did a Master's in cultural sciences at the University of Maastricht."
"

","

"
We feel happier during the conversation when someone who has a good sense of humor.,We feel happier during a conversation when someone  has a good sense of humor.
"It's a cheap service and it's very appreciated from people who needs car not every day but only for a little time.
","It's a cheap service and it's greatly appreciated by people who need a car not every day and only for a little time.
"
He was very jealous,"But due to my profession, he couldn't be like that for so long, because I was in a man's shoes."
I believe that I can be a good helper for two reasons.,I believe that I could be a good helper for two reasons.
"Tennagers also have to make serious  decisions like choosing secondary school, future job, which way they will go in their life, if they want to be in relationship with someone.","Teenagers also have to make serious  decisions like choosing secondary school, future job, which way they will go in their life, if they want to be in a relationship with someone."
"These people, those live in a city, do not take her own car or have not one.","These people, those who live in a city, do not take their own car or do not have one."
He fired his wife after insulting her.,He   his wife after insulting her.
"All in all, he wouldn't be able to stop the device.","All in all, he wouldn't be able to stop the device."
Travelling by car also reduces their time of journey and they don't need to wait for a particular bus.,Travelling by car also reduces people's journey time and they don't need to wait for a particular bus.
In addition the unwillingness of the banks to lend money to anyone without a stable job is something important to take into account.,"In addition, the unwillingness of the banks to lend money to anyone without a stable job is something important to take into account."
Every day we spent time on the beach and across the sea.,Every day we spent time on the beach and in the sea.
"Hey baby!'
""Hi.","Hey baby!'
""Hi."
"She instantly knew that her homeland must be nearby.

","She instantly knew that her homeland must be nearby.

"
"On Sundays, the gamut of products is much more bigger.","On Sundays, the range of products is much   bigger."
"That morning, Michael woke up full of energy, and feeling very optimistic about his first day in his new job.","That morning, Michael woke up full of energy  and feeling very optimistic about his first day in his new job."
"Since the concept and preliminary implementation model of the Yiddish Centre was developed in my office, it was expected that World ORT would participate in the project in a few capacities, rather than just including Yiddish component in our events, subject to the theme. 
","Since the concept and preliminary implementation model of the Yiddish Centre was developed in my office, it was expected that World ORT would participate in the project in a few capacities, rather than just including a Yiddish component in our events, subject to the theme. 
"
But I fell into a grave.,But I fell into a grave.
Who does not like watching movies?,Who does not like watching movies?
"
 However, in its present form, the tribal Jirga especially in Sindh province has generated heated debate about its legal position as well as conflict of its rules and codes with the constitution of Pakistan, law of the land or formal justice system as well as international human rights standards and conventions.","
 However, in its present form, the tribal Jirga, especially in Sindh province, has generated heated debate about its legal position as well as conflict of its rules and codes with the constitution of Pakistan, law of the land or formal justice system as well as international human rights standards and conventions."
"When you start riding a bicycle, you first need to check if your bike follows the security instructions.","When you start riding a bicycle, you first need to check if your bike complies with the safety regulations."
"This problem is that some aparatus are brouken and the paint is bad.

","This problem is that some apparatus are broken and the paint is bad.

"
Speaking about reading.,Speaking about reading.
I like basketball because it is one of the easiest sport.,I like basketball because it is one of the easiest sports.
"This words did that I was starting more
belive in yourself.",These words made me start believing in myself more.
they got attracted towards each other and in the midst of that they kissed each other and even exchanged phone numbers.,they became attracted to each other and in the midst of that they kissed each other and even exchanged phone numbers.
"Technology and, mostly, mobile phones are part of children and parents lives, so schools don’t have to ban it, but look for alternatives in order that they don’t make a negative effect in education.","Technology and, mostly, mobile phones, are part of children's and parents' lives, so schools shouldn't ban it, but look for alternatives in order that they don’t have a negative effect in education."
"and I can advise you.
","and I can recommend to you.
"
"I worked at at nursery school in London last summer, what led to improval of my English skills.","I worked at a nursery school in London last summer, which led to the improvement of my English skills."
I'm sure you do know that I'm obsessed with rock music and that is why I couldn't miss the boat.,I'm sure you   know that I'm obsessed with rock music and that is why I couldn't miss the boat.
I believe you'll absolutely love it.,I believe you'll absolutely love it.
"As soon as the man explained everything to us we realised that we had mistaken car keys in the restaurant because both of them were exactly alike.

","As soon as the man explained everything to us we realised that we had mixed up car keys in the restaurant because both of them were exactly alike.

"
Elena couldn't be happier with the situation.,Elena couldn't have been happier with the situation.
I love my grandpa and grandma a lot.,I love my grandpa and grandma a lot.
These are quite interesting and have helped me to know deeper children's pleasures.,These are quite interesting and have helped me to know  .
"In Korea, we call it 'Ka-Wee-Nool-Rim' which means being pressed by 'Ka-wee' ghost.","In Korea, we call it 'Ka-Wee-Nool-Rim', which means being   by a 'Ka-wee', or ghost."
I am calm and confident.,I am calm and confident.
"You won't be disappointed.




","You won't be disappointed.




"
"She is pretty, smart and so nice for all people.","She is pretty, smart and so nice to everyone."
"Because in order to deliver a successful industry project, I not only have to make a good product, but also have to be good at introducing my idea and persuading customers.","Because in order to deliver a successful industry project, I not only have to make a good product, but also have to be good at introducing my idea and persuading customers."
I live in the Netherlands and at our school it’s the same.,I live in the Netherlands and at our school it’s the same.
A tear started running down his face as he looked at the clouds.,A tear started running down his face as he looked at the clouds.
As it's often said: a good body makes a good mind.,As it's often said: a good body makes a good mind.
Picking myself up slowly after the numbness around my waist and hip had subsided; I knew I had little time to apportion blame to Joe or myself.,"Picking myself up slowly after the numbness around my waist and hip had subsided, I knew I had little time to apportion blame to Joe or myself."
The floor was very dirty and I could not even go out because all the people who wanted to buy our furniture were standing near our door.,The floor was very dirty and I could not even go out because all the people who wanted to buy our furniture were standing near our door.
"It also gives us clues that there may be life on other planets and we might not be the most superior beings in the world. 




","It also gives us clues that there may be life on other planets and we might not be the most superior beings in the world. 




"
"I am an English teacher here in my country, Spain, and I have worked with children aged 5-14 for five years now in different educational centres.","I am an English teacher here in my country, Spain, and I have worked with children aged 5-14 for five years now, in different educational centres."
"and I can assure you it's one of the best sports any person can do!
","and I can assure you it's one of the best sports any person can do!
"
It gives me great pleasure in helping kids in their activities and teaching them through play.,It gives me great pleasure to help kids with their activities and teach them through play.
When I was younger I would rather watch romantic films.,When I was younger I would rather watch romantic films.
"My pronunciation  is not always correct, as a result I have  some problems with listening.  ","My pronunciation  is not always correct, and as a result, I have  some problems with listening.  "
The second one is very important too because society has changed a lot as well as the people's mind.,"The second one is very important too, because society has changed a lot as well as  people's minds."
"Tickets cost 15 zlotys for students and 20 zlotys for adults.
","Tickets cost 15 zlotys for students and 20 zlotys for adults.
"
"To illustrate, my niece did not get a great score in his test.","To illustrate, my nephew did not get a great score in his test."
"I would recommend a job as a waitress because you don't need much experience,and I know you don't have any, and if you get a job in summer as a result you'll be at the beach most of the time and you can spend the rest of the year visiting other places.
","I would recommend a job as a waitress because you don't need much experience, and I know you don't have any, and if you get a job in the summer as a result, you'll be at the beach most of the time and you can spend the rest of the year visiting other places.
"
Transport will also respect the environment and nature.,Transport will also respect the environment and nature.
I could provide an extraordinary service with a smile even I was under unexpected situation.,"With these qualifications and personality, I believe that they will prove me to be an ideal candidate for 5-star Cabin Crew at Qatar Airways.










"
Gorky Park is my favorite place for my leisure.,Gorky Park is my favorite place for my leisure time.
"Starting with the social skills, it is obvious that a football match is a dispute, a game we involve in with the intention to win.","Starting with the social skills, it is obvious that a football match is a  , a game we get involved in with the intention of winning."
These kinds of sports have some advantages and disadvantages.,These kinds of sports have some advantages and disadvantages.
Two weeks ago he knew a beautiful girl in Linkedin.,"Two weeks ago, he met a beautiful girl on Linkedin."
"When you hear the bus stop Ploshad Truda you should leave the bus and I'll meet you at this bus stop. 
","When you hear the bus stop Ploshad Truda, you should get off the bus and I'll meet you at that bus stop. 
"
"There, is another issue that is due to huge transport but little bit road they are not wide enough so that most of people are distributed due to these issues.",There  is another issue that is due to heavy traffic but few roads that are  wide enough so that most   people are   due to these issues.
I will arrive in the Central Station at eleven o'clok and I will wear a read cot and a yellow scarf.,I will arrive at the Central Station at eleven o'clock and I will wear a read coat and a yellow scarf.
"It's for that we need to improve our mobility skills and private transport, as a car, allows us to achieve more efficiently our goals.
","It's because of that we need to improve our mobility  and private transport, such as a car, allows us to achieve our goals more efficiently.
"
"But then, every once and a while, one can also hear stories of brothers fighting over the inheritance, or a parent not speaking to their child for making a wrong life decision.","But then, every once in a while, one can also hear stories of brothers fighting over the inheritance, or a parent not speaking to their child for making a wrong life decision."
The crowd in the stadium only wants their team to win.,The crowd in the stadium only wants their team to win.
We appreciate kind and hard working people.,We appreciate kind and hard-working people.
In my opinion it is so really exciting because you are constantly thinking where the girls are or who can be the kidnaper.,"In my opinion, it is   really exciting, because you are constantly thinking about where the girls are or who could be the kidnaper."
"As well is important because during de Civil War, the General Franco was living there for a week.","It is also important because, during the Civil War,  General Franco lived there for a week."
It not only offers high salary but also the employee there is kind.,"It not only offers a high salary, but also, the employees there are kind."
"Dear Mrs Elisa Stephens,

I'm Vincenzo Manna, an engineering student who, by means of linguaenglish, is going to spend three weeks in Brighton (as you already know, my colleague Gelsomina Davide and I are arriving next 27th of July). 
","Dear Mrs Elisa Stephens,

I'm Vincenzo Manna, an engineering student who, by means of linguaenglish, is going to spend three weeks in Brighton (as you already know, my colleague Gelsomina Davide and I are arriving on 27th of July). 
"
"The boy, Ruben, was wearing a shirt with a brown trousers. 
","The boy, Ruben, was wearing a shirt with   brown trousers. 
"
I did not see the planets nor meet any sexy alien girl from Saturn.,I did not see the planets nor meet any sexy alien girl from Saturn.
"The members of your family in deed are your best friends, but only if you don't take them for granted, if you respect them and their space and opinion.","The members of your family indeed are your best friends, but only if you don't take them for granted, if you respect them and their space and opinion."
With my experience as a teaching assistant I can easily handle young kids and keep them busy in learning.  ,"With my experience as a teaching assistant, I can easily handle young kids and keep them busy  learning.  "
"If your destiny is further away, another good option is to travel by train.","If your destination is further away, another good option is to travel by train."
"Mass market clothes, bags, cosmetics, children toys are represented there.","Mass-market clothes, bags, cosmetics, children's toys are available there."
"""Seven"" is a story about a psychopathic serial killer, who kills on behalf morality and ethics.
","""Seven"" is a story about a psychopathic serial killer, who kills on behalf of morality and ethics.
"
"it is said that instead of taking public transport, commuters will travel by car because of its convenience.","It is said that, instead of taking public transport, commuters will travel by car because of its convenience."
"For example, it contributes to my cardiovascular system.","For example, it improves my cardiovascular system."
It was a huge surprise for me!,It was a huge surprise for me!
"Dear Sir/Madam,
The reason I am writing to you is poor quality of a food processor, which I bought in your store two weeks ago.","Dear Sir/Madam,
The reason I am writing to you is the poor quality of a food processor  which I bought in your store two weeks ago."
"If we avoid them, the earth will get worse.
                                  
","If we ignore them, the earth will get worse.
                                  
"
"Anna knew that it was going to be a very special day for her. 
","Anna knew that it was going to be a very special day for her. 
"
Young people are the most interested in fashion and computer games.,Young people are  most interested in fashion and computer games.
"That is why i feel traveling by your own car is the best things that can happen to one person.
","That is why I feel traveling in your own car is the best thing that can happen to a person.
"
"The reason he used to kill people was because they didn't respect the laws.
","The reason he used to kill people was because they didn't respect the laws.
"
When and where are you going hiking?,When and where are you going hiking?
"He is sarcastic and often mean, which drives people away from him.","He is sarcastic and often mean, which drives people away from him."
"In addition every person has different tastes, choices and preferences.","In addition, every person has different tastes, choices and preferences."
You play it with 32 cards and you need 3 or 4 people who are able to play it.,You play it with 32 cards and you need 3 or 4 people who are able to play it.
The problem is that you have to book the hotels you want to stay so yoou need some time to prepare it.,The problem is that you have to book the hotels you want to stay in so you need some time to prepare it.
To practise this sport first you have to meet someone who teaches you how to swim because it is a beautiful sport,"To do this sport, first you have to meet someone who can teach you how to swim, because it is a beautiful sport"
